date,gdelt_goldstein,gdelt_tone,gdelt_conflict_cnt,gdelt_coop_cnt,gdelt_mentions,gdelt_conflict_intensity
2022-02-03,0.9651565622918054,-2.176907163395981,347,1154,10188,-6.004388714733542
2022-02-04,0.23707729468599026,-3.1512866819033727,483,1173,9642,-5.921573033707866
2022-02-07,0.44678714859437757,-2.322216252215608,119,379,2887,-6.637272727272727
2022-02-08,0.1732474964234621,-2.6282362073922725,431,967,7886,-5.774752475247524
2022-02-09,0.19708794408852642,-3.053948377289315,499,1218,10086,-5.889079229122055
2022-02-10,0.6347664543524416,-2.353174060751878,482,1402,11038,-5.740732265446224
2022-02-11,0.11905882352941179,-3.070947564101036,511,1189,9077,-6.0897703549060545
2022-02-14,-0.3085039370078741,-2.571463001226763,211,424,3705,-6.826153846153847
2022-02-15,0.537762825904121,-2.4045621481039716,321,868,7323,-5.780344827586208
2022-02-16,0.715151515151515,-2.5098902512558685,512,1468,11657,-5.668965517241379
2022-02-17,0.5979987088444157,-2.5546201289502437,414,1135,8788,-5.117663043478261
2022-02-18,0.16407219402143264,-3.0085400562868214,533,1240,10119,-5.897119341563786
2022-02-21,0.3509907529722589,-2.942377631172734,196,561,4450,-6.296739130434782
2022-02-22,0.6919821826280623,-2.515276753261109,359,988,8601,-5.045230769230769
2022-02-23,0.020529373789541675,-3.6390716594462162,496,1053,9274,-5.739077669902913
2022-02-24,0.287986834887548,-2.9635329090799787,541,1282,10976,-5.650884955752213
2022-02-25,-0.19356456330965313,-4.154364421064022,830,1563,20621,-5.671428571428571
2022-02-28,0.35201612903225804,-2.8159744632072985,317,675,6156,-5.847169811320755
2022-03-01,0.2979725700655933,-2.792979368182593,511,1166,10162,-5.731838565022421
2022-03-02,0.2529448621553884,-2.1247996007103724,443,1153,8972,-6.230769230769231
2022-03-03,0.28406819517930626,-2.924014162275475,525,1176,10903,-5.465806451612904
2022-03-04,-0.1660009741841209,-3.2042668587712577,690,1363,11483,-5.926760563380282
2022-03-07,-0.36300639658848616,-3.7240513163059226,325,613,5718,-6.391821561338291
2022-03-08,0.5054871220604703,-2.8737371863430448,508,1278,9650,-5.541176470588235
2022-03-09,0.6667565139263253,-2.669691602306144,625,1601,13726,-5.043643263757116
2022-03-10,0.5701508620689654,-2.584410019636238,504,1352,10633,-5.3
2022-03-11,0.6695603784084584,-3.0198727389445033,476,1321,9785,-5.322499999999999
2022-03-14,-0.6695356738391847,-3.683484622004487,335,548,5310,-6.7398753894081
2022-03-15,0.31292407108239095,-2.893443299734102,351,887,7015,-6.28282208588957
2022-03-16,0.10299438552713668,-2.9537423996143266,502,1101,10521,-6.050663716814159
2022-03-17,0.3892531876138433,-3.331968604850847,496,1151,8796,-5.692477876106195
2022-03-18,-0.19198931909212277,-2.773428222300999,468,1030,9351,-6.2549295774647895
2022-03-21,-0.52621776504298,-3.3608264001188055,251,447,4346,-6.411206896551724
2022-03-22,0.19848484848484843,-2.472263257007261,382,872,6884,-5.84985835694051
2022-03-23,0.2571338383838384,-3.050147914999574,488,1096,9334,-5.98512585812357
2022-03-24,0.22218700475435818,-3.107615186815677,383,879,7477,-5.234472934472934
2022-03-25,0.07540785498489416,-2.8499181869976113,509,1146,8298,-6.1446351931330465
2022-03-28,0.04091710758377428,-3.244827095088029,166,401,3152,-6.218791946308724
2022-03-29,0.7283621837549934,-2.8799933860213804,397,1105,8237,-5.385112359550561
2022-03-30,0.5422120418848168,-2.5658300913482686,409,1119,8425,-5.234903047091413
2022-03-31,0.5948350964530179,-2.5840281053133656,418,1189,8670,-5.4603626943005175
2022-04-01,-0.006963087248322229,-2.701347223604506,379,813,7072,-5.9377464788732395
2022-04-04,-0.08310502283105026,-3.4771404829356327,220,437,4360,-6.083510638297871
2022-04-05,0.11450381679389315,-2.7490099232630487,353,826,6959,-5.829607250755287
2022-04-06,0.003360215053763441,-3.056714020857538,483,1005,9752,-5.526540284360189
2022-04-07,-0.04460942543576496,-3.700938997821774,483,1066,10049,-5.9358574610245
2022-04-08,0.10145672664952873,-2.500346472050126,356,811,7735,-6.054109589041095
2022-04-11,0.2974958263772955,-3.0275005377110467,167,432,3566,-6.16887417218543
2022-04-12,0.3306686046511627,-3.0033272383115333,393,983,7080,-5.372826086956521
2022-04-13,-0.32420212765957457,-3.7467735540161384,513,991,8941,-5.822661122661122
2022-04-14,-0.009294436906377197,-3.2271686050233876,450,1024,8702,-6.469392523364486
2022-04-15,-0.06526492851135406,-2.9909203290271686,398,791,7157,-5.872395833333333
2022-04-18,0.4310055865921788,-3.361995156167138,103,255,2456,-5.875789473684211
2022-04-19,-0.12146226415094347,-2.9094115647050804,408,864,7241,-5.891556728232191
2022-04-20,-0.09162342475908078,-3.198173472112691,420,929,7684,-6.164175257731959
2022-04-21,0.34418772563176886,-2.7249659551209438,388,997,8084,-5.826123595505618
2022-04-22,0.2659722222222223,-2.480029734815161,381,915,8477,-5.447197640117994
2022-04-25,-0.2801762114537445,-3.1050840621440456,138,316,2303,-7.3765625
2022-04-26,0.6344760672703752,-2.385957150608953,414,1132,8258,-5.749738219895288
2022-04-27,0.3807288449660285,-3.2235207807375272,482,1137,8143,-5.484563758389262
2022-04-28,0.29468599033816417,-2.8004331945684755,425,1024,9078,-6.113541666666667
2022-04-29,0.25525059665871114,-2.8605905079099614,479,1197,9476,-5.5283146067415725
2022-05-02,0.709076923076923,-2.6536187093159738,148,502,3755,-6.46044776119403
2022-05-03,0.07611827141774065,-2.67834008160902,421,898,6750,-5.757452574525745
2022-05-04,0.07940320232896651,-3.141015050866393,432,942,8113,-5.639152119700748
2022-05-05,0.30902872777017787,-2.7455393965048684,436,1026,8304,-5.880856423173804
2022-05-06,0.13762458471760794,-2.8831867937345694,369,835,6595,-5.4189504373177835
2022-05-09,0.49092872570194385,-2.8111010795499682,114,349,2487,-6.074193548387098
2022-05-10,0.07501715854495536,-3.417461492366079,427,1030,8507,-5.997721518987342
2022-05-11,-0.09034267912772591,-3.2723681786099865,516,1089,8432,-5.852350427350427
2022-05-12,-0.004363905325443781,-3.2942041695300475,455,897,8036,-5.627727272727272
2022-05-13,0.541332323996972,-2.1228126584345697,366,955,7643,-5.569578313253012
2022-05-16,-0.8601336302895324,-2.944398000011564,307,591,5246,-7.399337748344372
2022-05-17,0.03172043010752685,-3.06211786043934,345,771,6523,-6.374842767295597
2022-05-18,0.2251526251526251,-2.8682678045420755,491,1149,8606,-5.890128755364807
2022-05-19,0.2316400580551524,-2.7894998458406346,396,982,7624,-5.745479452054796
2022-05-20,-0.1946640316205534,-2.900935861684904,485,1033,8333,-5.991208791208791
2022-05-23,-0.6775193798449611,-3.1324233555163676,182,334,2746,-6.257222222222222
2022-05-24,0.2945247933884298,-2.7705968780860832,295,673,4866,-5.938805970149255
2022-05-25,-1.725730688935282,-4.4311432954664856,805,1111,12584,-7.910103626943005
2022-05-26,-0.92372634643377,-3.154260403713647,752,1309,10957,-7.276901798063625
2022-05-27,-0.2959978070175439,-2.8722758025803485,578,1246,10330,-6.936
2022-05-30,-1.3689583333333337,-3.5565528899934833,170,310,3304,-7.762195121951219
2022-05-31,-0.5217125382262998,-2.885151147767555,215,439,3328,-7.674611398963731
2022-06-01,-0.24858712715855577,-3.048693253838476,388,886,7144,-6.484180790960452
2022-06-02,-0.21400449943757044,-2.904800361334772,562,1216,12231,-6.473929236499069
2022-06-03,-0.6169032258064515,-3.2932709866695364,559,991,9651,-6.39438202247191
2022-06-06,-0.6632653061224489,-2.810232270738767,167,274,3000,-6.956962025316456
2022-06-07,-0.0712146422628952,-2.4867463563278775,375,827,5846,-6.464722222222223
2022-06-08,0.14351503759398496,-1.9435007941018596,267,797,5924,-6.759126984126984
2022-06-09,-0.36298763082778307,-3.1683973065122633,379,672,5420,-5.7034682080924854
2022-06-10,-0.40460030165912525,-3.9143662490720064,464,862,7006,-6.521689497716895
2022-06-13,-0.20418410041841006,-3.330529861785969,146,332,2957,-6.334306569343066
2022-06-14,0.22707979626485564,-1.9903989972393572,337,841,6979,-6.11125
2022-06-15,0.4700787401574803,-2.079527641643155,264,752,5578,-5.810843373493976
2022-06-16,0.3577931034482758,-2.4019505692401113,391,1059,8099,-5.990304709141275
2022-06-17,0.4824150943396225,-2.1976710826459906,362,963,7303,-5.2595744680851055
